,submitted_at,filled_at,symbol,filled_qty,side,type,filled_avg_price,status,profit
66,2021-07-26 10:31:34,2021-07-26 10:31:35,V,2,buy,market,248.25,filled,
67,2021-07-27 10:31:32,2021-07-27 10:31:33,V,1,buy,market,251.37,filled,
68,2021-07-29 10:31:36,2021-07-29 10:31:36,V,2,sell,market,248.02,filled,-305.64
69,2021-07-30 10:30:55,2021-07-30 10:30:55,V,30,buy,market,246.7,filled,
70,2021-08-02 10:31:39,2021-08-02 10:31:39,V,31,sell,market,246.07,filled,
71,2021-08-03 10:31:39,2021-08-03 10:31:39,V,25,buy,market,236.76,filled,
72,2021-08-04 10:30:52,2021-08-04 10:30:53,V,32,sell,market,236.1,filled,
73,2021-08-05 10:31:29,2021-08-05 10:31:29,V,1,buy,market,238.86,filled,
74,2021-08-06 10:31:37,2021-08-06 10:31:37,V,4,buy,market,242.29,filled,
75,2021-08-09 10:31:34,2021-08-09 10:31:34,V,3,sell,market,239.97,filled,
76,2021-08-10 10:31:33,2021-08-10 10:31:34,V,31,buy,market,237.35,filled,
77,2021-08-11 10:31:36,2021-08-11 10:31:36,V,1,sell,market,236.13,filled,
78,2021-08-13 10:31:22,2021-08-13 10:31:22,V,93,buy,market,232.31,filled,
79,2021-08-17 10:31:17,2021-08-17 10:31:17,V,94,sell,market,234.44,filled,
Total,,,,,,,,,296.36
